start_ts,end_ts,duration,program
1382599500,1382599516,16,Google Chrome
1382603400,1382603491,91,Google Chrome
1382606846,1382609655,2809,Google Chrome
1382689459,1382691600,2141,Google Chrome
1382696160,1382697480,1320,Google Chrome
1382719310,1382725787,6477,Google Chrome
1382729520,1382729867,347,Google Chrome
1382733481,1382737051,3570,Google Chrome
1382740092,1382741520,1428,Google Chrome
1382778857,1382780926,2069,Google Chrome
1382782200,1382782351,151,Google Chrome
1382795569,1382795776,207,Google Chrome
1382816296,1382816538,242,Google Chrome
1382821941,1382823768,1827,Google Chrome
1382825055,1382827411,2356,Google Chrome
1382862003,1382865660,3657,Google Chrome
1382867501,1382867671,170,Google Chrome
1382872884,1382872920,36,Google Chrome
1382883381,1382884600,1219,Google Chrome
1382906459,1382912466,6007,Google Chrome
1382913842,1382914052,210,Google Chrome
1382920355,1382920411,56,Google Chrome
1382926851,1382926901,50,Google Chrome
1382933347,1382933438,91,Google Chrome
1382939857,1382939932,75,Google Chrome
1382946353,1382946428,75,Google Chrome
1382951692,1382951814,122,Google Chrome
1382954012,1382954088,76,Google Chrome
1382996039,1383000344,4305,Google Chrome
1383034136,1383034340,204,Google Chrome
1383043067,1383043153,86,Google Chrome
1383069536,1383073193,3657,Google Chrome
1383074441,1383075044,603,Google Chrome
1383078273,1383080851,2578,Google Chrome
1383082416,1383082971,555,Google Chrome
1383084164,1383084628,464,Google Chrome
1383086492,1383086849,357,Google Chrome
1383087944,1383088184,240,Google Chrome
1383091747,1383091828,81,Google Chrome
1383095400,1383095490,90,Google Chrome
1383099070,1383099152,82,Google Chrome
1383102732,1383102814,82,Google Chrome
1383106396,1383106476,80,Google Chrome
1383110056,1383110138,82,Google Chrome
1383113719,1383113800,81,Google Chrome
1383117381,1383117462,81,Google Chrome
1383121044,1383122584,1540,Google Chrome
1383125792,1383127511,1719,Google Chrome
1383152147,1383153879,1732,Google Chrome
1383157696,1383158112,416,Google Chrome
1383163288,1383163547,259,Google Chrome
1383164658,1383166402,1744,Google Chrome
1383168807,1383169307,500,Google Chrome
1383170696,1383171234,538,Google Chrome
1383172733,1383173046,313,Google Chrome
1383207133,1383210268,3135,Google Chrome
1383214359,1383215080,721,Google Chrome
1383218246,1383219612,1366,Google Chrome
1383226072,1383226144,72,Google Chrome
1383229802,1383230508,706,Google Chrome
1383236051,1383240966,4915,Google Chrome
1383248133,1383250448,2315,Google Chrome
1383252078,1383252545,467,Google Chrome
1383254441,1383254935,494,Google Chrome
1383256594,1383256996,402,Google Chrome
1383258018,1383258460,442,Google Chrome
1383260668,1383260874,206,Google Chrome
1383299398,1383300739,1341,Google Chrome
1383303641,1383303767,126,Google Chrome
1383306471,1383312316,5845,Google Chrome
1383318127,1383318795,668,Google Chrome
1383328536,1383331028,2492,Google Chrome
1383333600,1383333971,371,Google Chrome
